Термин (кратко),Термин (пространно),Описание,Примечания,Задачи
АГС,АГС,"АГС — «автоматический гранатомет станковый», позволяющий запускать по противнику очередями гранаты калибра 30 мм. Особенно эффективен при корректировке с беспилотника. Обе стороны используют советскую модель АГС-17, в ВС РФ также применяется модернизированный АГС-30, а в ВСУ — американский аналог Mk 19.",,
Артиллерийский выстрел,Артиллерийский выстрел,"Артиллерийский выстрел — правильное название артиллерийских боеприпасов, обычно именуемых снарядами. Состоит чаще всего из собственно снаряда, порохового заряда, который сообщает снаряду начальную скорость, и гильзы, удерживающей эти два элемента вместе.",,
АТО,АТО,"АТО — «антитеррористическая операция». Официальное название и правовой статус украинской военной операции на востоке страны, объявленной в апреле 2014 года. В 2018 году переформатирована в Операцию Объединенных сил (ООС).",,
Баба-яга,«Баба-яга»,"«Баба-яга» — наименование, данное российскими военными тяжелым сельскохозяйственным дронам, которые украинские войска используют для сброса крупных боеприпасов, например, противотанковых гранат ПГ-7 или мин ТМ-62.",,
БАПОР,БАПОР,"БАПОР — Ближневосточное агентство ООН для помощи палестинским беженцам и организации работ (The United Nations Relief and Works Agency for Palestine Refugees in the Near East, UNRWA; англ.). Организация, занятая помощью исключительно палестинским беженцам, одна из самых в крупных в системе ООН с точки зрения объема бюджета и численности персонала.",,
ББМ,ББМ,ББМ — боевая бронированная машина.,,Расширить до более содержательного описания
БДК,БДК,"БДК — большой десантный корабль. Предназначен для перевозки и десантирования тяжелой наземной техники, личного состава, а также других грузов.",,
Беларускі Гаюн,«Беларускі Гаюн»,"«Беларускі Гаюн» — мониторинговый проект, отслеживающий деятельность белорусских и российских военных на территории Беларуси на основании сообщений от местных жителей и открытых источников.",,Обновить при случае; больше не работает 
Блицкриг,«Блицкриг» ,"«Блицкриг» — концепция «молниеносной войны» (Blitzkrieg, нем.), исторически связанная со стратегией действий Вермахта, направленной на достижение победы над противником в максимально короткие сроки.",,
БМД,БМД,"БМД — боевая машина десанта. Класс гусеничных бронированных машин советского и позднее российского производства, выполняющий роль боевой машины пехоты для подразделений ВДВ. Основная особенность БМД заключается в способности десантирования с самолетов, что отрицательно сказывается на уровне защищенности и надежности. По аналогии с советской номенклатурой БМП, модельный ряд БМД маркируется порядковыми номерами: БМД-1, БМД-2, БМД-3, БМД-4.",,
БМП,БМП,"БМП — боевая машина пехоты. Бронированная гусеничная или колесная боевая машина, предназначенная для безопасной транспортировки личного состава к переднему краю боевых действий, его огневой поддержки и ведения боя в составе механизированных подразделений. Обладает умеренной защищенностью и в основном вооружается пулеметными и пушечными системами. В советской и российской школе военного машиностроения служит и наименованием конкретных машин при добавлении порядкового номера модели: БМП-1, БМП-2, БМП-3.",,
БМПТ,БМПТ,"БМПТ — боевая машина поддержки танков. Концептуально бронированная машина, разработанная для защиты танков и других боевых единиц на поле боя. В контексте серийного производства и боевого применения состоит на вооружении в ВС РФ под наименованием БМПТ «Терминатор». Эта машина создана на шасси танка Т-72 и оснащена ракетно-пушечным вооружением, включая две автоматические пушки 30 мм, противотанковые ракеты, гранатометы и пулемет.",,
БПЛА,БПЛА,БПЛА — беспилотный летательный аппарат. Используется как зонтичный термин для различных категорий беспилотных авиационных систем — от небольших аппаратов коптерного типа и FPV-дронов до крупных разведывательных и ударных беспилотников типа Bayraktar TB2 и барражирующих боеприпасов типа «Шахед».,,
БР,БР / «бээрка»,"БР / «бээрка» — боевое распоряжение, документ, доводящий до личного состава постановку боевой задачи.",,
БРДМ,БРДМ,"БРДМ — боевая разведывательно-дозорная машина. Концептуально бронированная колесная машина, предназначенная для разведки и патрулирования. БРДМ представляет образец советской школы военного машиностроения 1960-х годов, обладает слабым противопульным и противоосколочным бронированием, но отличается высокой мобильностью и проходимостью, включая возможность преодоления водных преград. Существует в двух моделях: БРДМ-1 и БРДМ-2.",,
БРПД,БРПД,"БРПД — баллистическая ракета промежуточной дальности (intermediate-range ballistic missile, IRBM; англ.) с дальностью 3500-5500 км. Используется в западной системе классификации ракет как промежуточное звено между ракетами средней (от 1000 до 3500 км) и межконтинентальной (свыше 5500 км) дальности. В российской системе соответствующая категория отсутствует, поскольку все ракеты дальностью от 1000 до 5500 км считаются ракетами средней дальности. Иногда для их описания на русском языке используется термин ракета большой дальности.",,
БРПЛ,БРПЛ,БРПЛ — баллистическая ракета подводных лодок.,,
БРЭМ,БРЭМ,"БРЭМ — бронированная ремонтно-эвакуационная машина. Используется для буксировки поврежденной техники и полевого ремонта (например, замены двигателя или других крупных агрегатов), для чего оснащается краном, лебедкой и другими механизмами.",,
БРЭО,БРЭО,"БРЭО — бортовое радиоэлектронное оборудование, в случае с боевыми самолетами имеется в виду комплекс технических средств, позволяющих находить цели и вести дальний воздушный бой.",,
БТГ,БТГ,"БТГ — батальонная тактическая группа, основная организационная единица ВС РФ на начальном этапе вторжения в Украину численностью 700-900 человек. На текущем этапе войны российское командование отказалось от развертывания сил и средств в виде БТГ.",,
БТР,БТР,"БТР — бронетранспортер. Колесная или гусеничная бронированная машина, предназначенная в основном для транспортировки личного состава, вооружения и материальных средств. БТР обеспечивает защиту десанта от огня стрелкового оружия и осколков, но имеет ограниченную огневую мощь. В отличие от БМП, основная задача БТР сводится к транспортировке личного состава, а не участию в боевых действиях.",,
Бундесвер,Бундесвер,"Бундесвер — Вооруженные силы Германии (Bundeswehr, нем.).
",,Расширить до более содержательного описания
Буханка,«Буханка»,"«Буханка» — автомобиль производства Ульяновского автозавода (УАЗ СГР), выпускается с 1965 года с минимальными изменениями конструкции. По ходу войны против Украины стал наиболее востребованным транспортным средством в ВС РФ.",,
БЭК,БЭК,"БЭК — безэкипажный катер, обычно полупогруженного типа. Часто фигурирует в СМИ как морской дрон или морской беспилотник. Относится к категории автономных необитаемых надводных аппаратов (Unmanned Surface Vessel, USV; англ.), то есть способен передвигаться по воде при помощи дистанционного управления или по заложенному в бортовую навигационную систему маршруту. Может нести боевую часть в корпусе, а также выступать в качестве платформы-носителя воздушных беспилотников, зенитных ракет, систем РЭБ. ",,
ВВСТ,ВВСТ,"ВВСТ — вооружения, военная и специальная техника.",,Расширить до более содержательного описания
Взятие в кредит,«Взятие в кредит»,«Взятие в кредит» — в Z-среде означает доклад или сообщение о захвате того или иного населенного пункта или позиции до установления фактического контроля над ними. Последующие штурмовые действия для «приведения обстановки в соответствие с докладами» часто сопровождаются крупными потерями.,,
ВКС РФ,ВКС РФ,ВКС РФ — Воздушно-космические силы Российской Федерации. Сформированы в 2015 году в результате объединения Военно-воздушных сил (ВВС) и Войск воздушно-космической обороны (ВВКО).,,
Внутренние линии,Преимущество «внутренних линий»,"Преимущество «внутренних линий» — в ситуации, когда линия фронта представляет собой огромное полукольцо, сторона, защищающая внутреннюю его часть, имеет возможность гораздо быстрее перебрасывать силы с одного участка на другой по прямой, чем сторона, силы которой находятся на внешней части полукольца и вынуждены делать значительный крюк, чтобы добраться до одной из его оконечностей.",,
Восток,Батальон «Восток»,Батальон «Восток» — созданное в мае 2014 года военное формирование сепаратистской «ДНР» на базе движения «Патриотические силы Донбасса» Александра Ходаковского. Ныне 114-я отдельная мотострелковая бригада ВС РФ.,,
Времевский выступ,Времевский выступ,Времевский выступ — условное название операционного района к югу от Великой Новосёлки в Донецкой области. В ходе контрнаступления ВСУ летом 2023 года был занят украинскими войсками. К январю 2025 года ВС РФ вернули территорию выступа под полный контроль.,,
ГБР,ГБР,"ГБР — Государственное бюро расследований (Державне бюро розслідувань, укр.), украинский правоохранительный орган, занимающийся расследованием уголовных преступлений, совершенных чиновниками, депутатами и силовиками.",,
Геолокация,Геолокация,"Геолокация — способ определения места съемки фото или видео по отличительным признакам, которые можно сопоставить, например, со спутниковыми снимками или панорамами Google или «Яндекс».",Не используем в сводках по просьбе нач-ва,
Гиркин,"Гиркин, Игорь","Игорь Гиркин — известен как Игорь Стрелков (Рунов). Один из полевых командиров сепаратистов на Донбассе в 2014 году, а ныне известный Z-блогер. До весны 2013 года служил в Управлении защиты конституционного строя Второй службы ФСБ, затем уволился и перешел в структуры бизнесмена Константина Малофеева. Приговорен нидерландским судом к пожизненному заключению за участие в сбитии пассажирского «Боинга» над Донбассом в 2014 году. В январе 2024 года приговорен Мосгорсудом к четырем годам колонии по делу о публичных призывах к экстремизму.",,
ГРАУ,ГРАУ,"ГРАУ — Главное ракетно-артиллерийское управление Минобороны РФ, орган военного управления, ответственный за поставки, хранение и обслуживание ракетных и артиллерийских систем вооружения и боеприпасов к ним.",,
Группа закрепления,Группа закрепления,"Группа закрепления — отряд, задача которого закрепиться на позиции после ее зачистки штурмовой группой и отражать возможные контратаки.",,
ГСМ,ГСМ,ГСМ — горюче-смазочные материалы.,,
ГСЧС,ГСЧС,"ГСЧС — Государственная служба по чрезвычайным ситуациям (Державна служба України з надзвичайних ситуацій, укр.) Украины.",,
ГУР,ГУР,"ГУР — Главное управление разведки Министерства обороны Украины (Головне управління розвідки Міністерства оборони України, укр.). Украинская военная разведка.",,Расширить до более содержательного описания
Датская модель,«Датская модель»,"«Датская модель» — схема оказания военной помощи Украине, которая заключается в том, что иностранные партнеры оплачивают изготовление украинскими оборонными предприятиями вооружений, военной и специальной техники для Сил обороны Украины.",,
Двухсотые / груз 200,Двухсотые / груз 200,Двухсотые / груз 200 — на армейском жаргоне означает погибших в ходе боевых действий.,,
Динамическая защита,Динамическая защита,"Динамическая защита — блоки со взрывчаткой, устанавливаемые на бронетехнику. При попадании боеприпаса происходит встречный взрыв, что снижает его пробивную способность.",,
Добропольский выступ,Добропольский выступ,"Добропольский выступ — выступ, образовавшийся после попытки российского прорыва к Доброполью на покровском направлении в августе 2025 года.",,
ДРГ,ДРГ,"ДРГ — диверсионно-разведывательная группа; обычно так называют любое формирование, пересекающее линию фронта и действующее в тылу противника.",,
ДРЛОиУ,ДРЛОиУ,"ДРЛОиУ — дальнее радиолокационное обнаружение и управление, в качестве взаимозаменяемой иногда используется аббревиатура РЛДН — радиолокационный дозор и наведение.",,Расширить до более содержательного описания
ДШВ,ДШВ,"ДШВ — десантно-штурмовые войска (десантно-штурмові війська, укр.), отдельный род войск в составе ВСУ.",,
ДШРГ «Русич» ,ДШРГ «Русич» ,"ДШРГ «Русич» — диверсионно-штурмовая разведывательная группа, объединяющая российских ультраправых активистов. Принимает участие в войне против Украины с 2014 года. Внесена в санкционные списки США и ЕС. Действующий командир — Алексей Мильчаков.",,Расширить до более содержательного описания
«Ёжик» / «одуванчик»,«Ёжик» / «одуванчик»,"«Ёжик» / «одуванчик» — конструкция из расплетенных тросов, наваренная на военную или гражданскую технику с целью обеспечения дополнительной защиты от дронов противника.",,
ЖБУ,ЖБУ,"ЖБУ — железобетонное укрытие, стационарное сооружение арочного типа, предназначено для защиты авиационной техники от ударов огневыми средствами поражения в местах базирования на аэродромах.",,
Ждуны,Дроны-«ждуны»,"Дроны-«ждуны» — на военном жаргоне означает дроны-камикадзе, которые садятся на специальные ножки в засады на логистических маршрутах противника, а при появлении вражеской техники приводятся в действие и атакуют цель.",,
Железные мечи,«Железные мечи»,"«Железные мечи» — официальное название военной операции Израиля в секторе Газа, начата 7 октября 2023 года.",,Обновить при случае; операцию переименовали
Забаранить,«Забаранить»,"«Забаранить» — «баран» на военном жаргоне означает труп противника, соответственно, образованный от этого слова глагол описывает насильственную смерть.",,
Закрас,«Закрас» ,"«Закрас» — так на российском военном жаргоне называют цветовое обозначение контроля территории на картах, которые в дальнейшем используются при планировании операций и штабной отчетности. «Закрасы» часто делаются «в кредит», выступая составной частью проблемы «ложных докладов». ",,
Зрада,Зрада,"Зрада — «предательство, измена» на украинском языке. В современном украинском политическом сленге означает либо плохие новости, чаще всего связанных с действиями властей, либо стремление выпячивать подобные новости или высасывать их из пальца (такое поведение также называют «зрадофильство» или «зрадо*бство»).",,
ЗРК,ЗРК,ЗРК — зенитный ракетный комплекс.,,Расширить до более содержательного описания
ЗРПК,ЗРПК,ЗРПК — зенитный ракетно-пушечный комплекс.,,Расширить до более содержательного описания
ЗСУ,ЗСУ,"ЗСУ — не только аббревиатура «ВСУ» на украинском (Збройні сили України, укр.), но еще и зенитная самоходная установка.",,
ЗУ,ЗУ,"ЗУ — зенитная установка. Чаще всего представляет собой одно или несколько скорострельных артиллерийских орудий, применяемых для стрельбы по воздушным (а нередко — и по наземным) целям.",,
Зубы дракона,«Зубы дракона»,"«Зубы дракона» — бетонные надолбы пирамидальной формы, выполняющие роль противотанкового инженерного заграждения. В ходе российско-украинской войны широко используются при сооружении линий обороны.",,
ЗУР,ЗУР,ЗУР — зенитная управляемая ракета.,,
ИМР,ИМР,ИМР — инженерная машина разграждения.,,Расширить до более содержательного описания
ИПСО / ЦИПСО,ИПСО / ЦИПСО,"ИПСО / ЦИПСО — так в соцсетях называют любую информацию, которая считается «вброшенной» противником. Название пошло от украинского 72-го центра информационно-психологических операций (72-й центр інформаційно-психологічних операцій, 72-й ЦІПСО; укр.), на котором, по утверждениям прокремлевских авторов, лежит большинство задач по дезинформации российской стороны.",,
Искандер,ОТРК «Искандер»,"ОТРК «Искандер» — российский ракетный комплекс, способный запускать крылатые и баллистические ракеты. С февраля 2022 года российские войска регулярно наносят удары из ОТРК «Искандер» по украинским гражданским и военным объектам.",,Расширить до более содержательного описания
ИФС,ИФС,ИФС — инженерно-фортификационные сооружения.,,Расширить до более содержательного описания
КАБ,КАБ,"КАБ — корректируемая авиабомба. В российских арсеналах имеются изделия с буквенным кодом «КАБ», однако в Украине так называют и обычные российские авиабомбы, снабженные модулем планирования и коррекции (УМПК), а также корректируемые авиабомбы западного производства, применяемые ВСУ.",,
КАЗ,КАЗ,"КАЗ — комплекс активной защиты, система вооружения, устанавливаемая на бронетехнику и позволяющая сбивать на подлете боеприпасы противника, например, ракеты противотанковых комплексов. Хотя многие страны уже имеют на вооружении КАЗ или активно их разрабатывают, машины с такими комплексами масштабно не применялись до начала израильской операции против движения ХАМАС и союзных ему палестинских военно-политических организаций в Секторе Газа в 2023 году.",,
Каннибализация,«Каннибализация»,"«Каннибализация» — в военном деле означает разукомплектование военной техники с целью «добычи» запасных частей, узлов и агрегатов для ремонта и поддержания боеспособности других единиц техники того же типа.",,
Карман,«Карман»,"«Карман» — жаргонное обозначение участка местности, окруженного противником с трех сторон. Считается тактически невыгодной позицией, поскольку подразделения, обороняющиеся в «кармане», часто испытывают проблемы со снабжением и находятся под угрозой полного окружения.",,
Кассетные боеприпасы,Кассетные боеприпасы,"Кассетные боеприпасы — боеприпасы, которые на подлете к цели раскрываются, разбрасывая небольшие суббоеприпасы, а те в свою очередь взрываются, поражая большую площадь. Из-за своего неизбирательного характера и опасности неразорвавшихся суббоеприпасов для мирных жителей они запрещены в большинстве стран мира, за исключением, в частности, России, Украины и США.",,
КВН,КВН,"КВН — «Князь Вандал Новгородский», российский FPV-дрон, управляемый по оптоволоконному кабелю, разработанный в НПЦ «Ушкуйник» (гендиректор — бывший политтехнолог и функционер партии «Единая Россия» Алексей Чадаев). Широко применяется российскими военными с момента вторжения ВСУ в Курскую область в августе 2024 года.",,
Киллзона,«Киллзона»,"«Киллзона» — (kill zone, англ.) в терминологии российско-украинской войны — участок прифронтовой территории, где осуществляется огневое поражение любой техники и личного состава противника, что крайне затрудняет логистику, эвакуацию и наступательные действия.",,
Киллчейн,«Киллчейн»,"«Киллчейн» — (kill chain, англ.) — цепочка передачи команд и информации в структуре вооруженных сил, позволяющая находить, распознавать и поражать вражеские цели и основанная на определенном сочетании управленческих и технологических решений. В российской традиции часто именуется «разведывательно-ударным контуром» (РУК).",,
Кинжал,«Кинжал» ,"«Кинжал» — российская аэробаллистическая ракета, адаптация ракеты комплекса «Искандер» для запуска с самолета-носителя (чаще всего МиГ-31К). В различных источниках ракету часто обозначают Х-47М2, на самом деле такого индекса в системе обозначений техники ВС РФ не существует. Позиционируется российской пропагандой как гиперзвуковая, однако не соответствует современным критериям для такого оружия. Тем не менее, представляет собой крайне трудную цель для ПВО.",,
КНА,КНА,"КНА — Корейская народная армия, официальное название Вооруженных сил Корейской Народно-Демократической Республики (КНДР).",,Расширить до более содержательного описания
Коалиции возможностей,Коалиции возможностей,"Коалиции возможностей — структуры, координирующие поставки Украине отдельных видов вооружений или обеспечения, например, артиллерии, танков, авиации, дронов или IT-оборудования и программного обеспечения.",,Расширить до более содержательного описания
Коалиция желающих,Коалиция желающих,"Коалиция желающих — (Coalition of the willing, англ.), группа европейских государств, собирающихся обеспечить послевоенные гарантии безопасности Украины, в том числе посредством размещения своих военных на ее территории.",,
Контрбатарейная борьба,Контрбатарейная борьба,"Контрбатарейная борьба — мероприятия по подавлению и уничтожению артиллерии противника с помощью собственной артиллерии, барражирующих боеприпасов и других средств поражения.",,Расширить до более содержательного описания
Корпус,Корпус,"Корпус — войсковое объединение из нескольких бригад или дивизий, промежуточное звено между дивизией и армией.",,Расширить до более содержательного описания
КОФЗБЧ,КОФЗБЧ,КОФЗБЧ — кумулятивно-осколочно-фугасно-зажигательная боевая часть.,,
КСИР,КСИР,"КСИР — Корпус стражей исламской революции, государственный военно-политический институт в Иране, сочетающий функции вооруженных сил, органов госбезопасности и независимой хозяйственной единицы. Обеспечивает и координирует зарубежные военные операции Ирана, в ряде стран, в том числе в США, признан террористической организацией.",,
Кульминация,Кульминация,"Кульминация — в терминологии военного теоретика Карла фон Клаузевица так называется момент, когда та или иная сторона утрачивает способность продолжать операции.",,
Кумулятивный боеприпас,Кумулятивный боеприпас,"Кумулятивный боеприпас — тип боеприпаса особой формы, при подрыве которого создается направленная струя продуктов взрыва, способная пробивать достаточно толстую броню.",,
Ланцет,«Ланцет»,"«Ланцет» — российский барражирующий боеприпас, используемый для поражения военной техники на расстоянии до десятков километров от линии фронта.",,Расширить до более содержательного описания
Лаос,Лаос,"Лаос — мем Z-каналов, говорящих о проблемах российской армии с уточнением, что все описанное происходит в армии Лаоса, поскольку критиковать ВС РФ не принято и даже чревато уголовным преследованием.",,
ЛБС,ЛБС,ЛБС — линия боевого соприкосновения.,,Расширить до более содержательного описания
Ли,"Ли, Роб","Роб Ли — старший научный сотрудник Евразийской программы Исследовательского института внешней политики в Филадельфии (Foreign Policy Research Institute, FPRI), один из наиболее цитируемых экспертов по российско-украинской войне.",,
Лисья нора,«Лисья нора» ,"«Лисья нора» — небольшое укрытие, выкопанное в земле, чаще всего индивидуальное.",,
Локационно потеряны,«Локационно потеряны»,"«Локационно потеряны» — формулировка, используемая в отчетах Воздушных сил ВСУ в отношении российских беспилотников дальнего действия, которые либо были нейтрализованы с помощью систем радиоэлектронной борьбы, либо оказались дронами-ложными целями, не несущими боевой части и упавшими, не причинив вреда.",,
ЛСР,Легион «Свобода России»,"Легион «Свобода России» — воинское подразделение, сформированное из российских военных, перешедших на сторону Украины. Считается, что ЛСР выполняет скорее медийно-пропагандистские, нежели военные функции, и связан с бывшим депутатом Госдумы РФ Ильей Пономаревым.",,
МАГАТЭ,МАГАТЭ,МАГАТЭ — Международное агентство по атомной энергии.,,Расширить до более содержательного описания
Магнитная мина,Магнитная мина,"Магнитная мина — тип мины, который приводится в действие изменением магнитного поля, вызванным движением металлического объекта большой массы (например, бронированной или автомобильной техники).",,
Мангал / козырек,«Мангал» / «козырек»,"«Мангал» / «козырек» — решетчатая конструкция, устанавливаемая на бронетехнику и другие объекты. Первоначально российские военные надеялись, что она спасет танки от ПТРК Javelin, однако позднее обе стороны стали применять их для защиты от сбросов боеприпасов с беспилотников и от дронов-камикадзе.",,
Машинное зрение,Машинное зрение,"Машинное зрение — применительно к российско-украинской войне чаще всего означает технологию, позволяющую бортовому компьютеру БПЛА распознавать цели самостоятельно или с помощью оператора и автоматически направлять дрон на цель без участия человека. Эту технологию также называют «донаведение» и «автозахват цели».",,
МБР,МБР,МБР — межконтинентальная баллистическая ракета.,,
